nohup: ignoring input
timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/01/09 15:25:35.680, 0 %, 1 %, 438 MiB, 40
2026/01/09 15:25:38.681, 0 %, 1 %, 439 MiB, 40
2026/01/09 15:25:41.682, 0 %, 1 %, 441 MiB, 40
2026/01/09 15:25:44.683, 1 %, 2 %, 441 MiB, 40
2026/01/09 15:25:47.684, 0 %, 1 %, 440 MiB, 40
2026/01/09 15:25:50.685, 0 %, 1 %, 441 MiB, 40
2026/01/09 15:25:53.686, 0 %, 1 %, 489 MiB, 40
2026/01/09 15:25:56.687, 0 %, 1 %, 488 MiB, 40
2026/01/09 15:25:59.688, 0 %, 1 %, 477 MiB, 40
2026/01/09 15:26:02.689, 0 %, 5 %, 504 MiB, 39
2026/01/09 15:26:05.690, 1 %, 10 %, 502 MiB, 39
2026/01/09 15:26:08.691, 16 %, 16 %, 494 MiB, 38
2026/01/09 15:26:11.692, 3 %, 3 %, 512 MiB, 40
2026/01/09 15:26:14.693, 0 %, 1 %, 515 MiB, 40
2026/01/09 15:26:17.694, 8 %, 6 %, 507 MiB, 40
2026/01/09 15:26:20.695, 0 %, 1 %, 507 MiB, 40
2026/01/09 15:26:23.696, 0 %, 2 %, 502 MiB, 40
2026/01/09 15:26:26.698, 0 %, 1 %, 503 MiB, 40
2026/01/09 15:26:29.699, 0 %, 1 %, 503 MiB, 40
2026/01/09 15:26:32.700, 0 %, 1 %, 515 MiB, 40
2026/01/09 15:26:35.701, 0 %, 1 %, 517 MiB, 40
2026/01/09 15:26:38.702, 1 %, 2 %, 501 MiB, 40
2026/01/09 15:26:41.703, 0 %, 1 %, 511 MiB, 41
2026/01/09 15:26:44.705, 0 %, 1 %, 511 MiB, 41
2026/01/09 15:26:47.705, 10 %, 7 %, 523 MiB, 41
2026/01/09 15:26:50.707, 8 %, 6 %, 520 MiB, 41
2026/01/09 15:26:53.708, 0 %, 5 %, 501 MiB, 40
2026/01/09 15:26:56.709, 6 %, 5 %, 508 MiB, 40
2026/01/09 15:26:59.710, 2 %, 2 %, 532 MiB, 41
2026/01/09 15:27:02.710, 2 %, 3 %, 515 MiB, 41
2026/01/09 15:27:05.712, 2 %, 2 %, 551 MiB, 41
2026/01/09 15:27:08.713, 1 %, 2 %, 559 MiB, 41
2026/01/09 15:27:11.714, 0 %, 1 %, 523 MiB, 41
2026/01/09 15:27:14.715, 0 %, 2 %, 510 MiB, 41
2026/01/09 15:27:17.716, 13 %, 8 %, 541 MiB, 41
2026/01/09 15:27:20.717, 8 %, 5 %, 539 MiB, 41
2026/01/09 15:27:23.718, 8 %, 6 %, 530 MiB, 41
2026/01/09 15:27:26.721, 6 %, 5 %, 525 MiB, 41
2026/01/09 15:27:29.721, 8 %, 6 %, 540 MiB, 41
2026/01/09 15:27:32.722, 9 %, 6 %, 526 MiB, 41
2026/01/09 15:27:35.723, 7 %, 5 %, 512 MiB, 41
2026/01/09 15:27:38.723, 8 %, 6 %, 508 MiB, 41
2026/01/09 15:27:41.724, 0 %, 5 %, 512 MiB, 40
2026/01/09 15:27:44.726, 0 %, 9 %, 506 MiB, 40
2026/01/09 15:27:47.727, 0 %, 9 %, 499 MiB, 39
2026/01/09 15:27:50.729, 0 %, 1 %, 514 MiB, 40
2026/01/09 15:27:53.730, 0 %, 1 %, 498 MiB, 41
2026/01/09 15:27:56.732, 0 %, 1 %, 498 MiB, 41
2026/01/09 15:27:59.733, 0 %, 1 %, 503 MiB, 41
2026/01/09 15:28:02.734, 0 %, 1 %, 511 MiB, 41
2026/01/09 15:28:05.736, 0 %, 1 %, 509 MiB, 41
2026/01/09 15:28:08.737, 0 %, 1 %, 505 MiB, 41
2026/01/09 15:28:11.738, 0 %, 1 %, 505 MiB, 41
2026/01/09 15:28:14.739, 0 %, 1 %, 497 MiB, 41
2026/01/09 15:28:17.740, 1 %, 2 %, 497 MiB, 41
2026/01/09 15:28:20.741, 0 %, 2 %, 540 MiB, 41
2026/01/09 15:28:23.743, 1 %, 2 %, 531 MiB, 41
2026/01/09 15:28:26.743, 1 %, 2 %, 526 MiB, 41
2026/01/09 15:28:29.745, 13 %, 8 %, 531 MiB, 41
2026/01/09 15:28:32.746, 1 %, 2 %, 525 MiB, 41
2026/01/09 15:28:35.746, 14 %, 16 %, 532 MiB, 40
2026/01/09 15:28:38.748, 4 %, 7 %, 535 MiB, 40
2026/01/09 15:28:41.749, 3 %, 6 %, 523 MiB, 40
2026/01/09 15:28:44.750, 5 %, 11 %, 501 MiB, 39
2026/01/09 15:28:47.751, 5 %, 12 %, 501 MiB, 39
2026/01/09 15:28:50.752, 5 %, 11 %, 501 MiB, 39
2026/01/09 15:28:53.753, 0 %, 9 %, 501 MiB, 39
2026/01/09 15:28:56.754, 3 %, 2 %, 541 MiB, 40
2026/01/09 15:28:59.756, 10 %, 7 %, 555 MiB, 40
2026/01/09 15:29:02.757, 1 %, 2 %, 538 MiB, 40
2026/01/09 15:29:05.759, 2 %, 2 %, 518 MiB, 40
2026/01/09 15:29:08.761, 2 %, 2 %, 522 MiB, 41
2026/01/09 15:29:11.762, 2 %, 2 %, 507 MiB, 41
2026/01/09 15:29:14.764, 2 %, 2 %, 514 MiB, 41
2026/01/09 15:29:17.765, 2 %, 2 %, 507 MiB, 41
2026/01/09 15:29:20.766, 4 %, 3 %, 507 MiB, 41
2026/01/09 15:29:23.768, 2 %, 2 %, 507 MiB, 41
2026/01/09 15:29:26.769, 2 %, 2 %, 507 MiB, 41
2026/01/09 15:29:29.770, 2 %, 2 %, 507 MiB, 41
2026/01/09 15:29:32.771, 2 %, 7 %, 507 MiB, 40
2026/01/09 15:29:35.773, 6 %, 12 %, 508 MiB, 39
2026/01/09 15:29:38.774, 9 %, 7 %, 536 MiB, 40
2026/01/09 15:29:41.776, 1 %, 2 %, 531 MiB, 40
2026/01/09 15:29:44.777, 1 %, 2 %, 539 MiB, 41
2026/01/09 15:29:47.778, 1 %, 2 %, 531 MiB, 41
2026/01/09 15:29:50.779, 5 %, 4 %, 534 MiB, 41
2026/01/09 15:29:53.781, 3 %, 3 %, 541 MiB, 41
2026/01/09 15:29:56.782, 2 %, 2 %, 538 MiB, 41
2026/01/09 15:29:59.783, 9 %, 7 %, 547 MiB, 41
2026/01/09 15:30:02.785, 1 %, 2 %, 543 MiB, 41
2026/01/09 15:30:05.786, 2 %, 2 %, 520 MiB, 41
2026/01/09 15:30:08.787, 0 %, 1 %, 521 MiB, 41
2026/01/09 15:30:11.788, 3 %, 3 %, 546 MiB, 41
2026/01/09 15:30:14.790, 8 %, 6 %, 548 MiB, 41
2026/01/09 15:30:17.791, 1 %, 2 %, 529 MiB, 41
2026/01/09 15:30:20.793, 1 %, 2 %, 541 MiB, 41
2026/01/09 15:30:23.794, 1 %, 2 %, 528 MiB, 41
2026/01/09 15:30:26.795, 2 %, 7 %, 545 MiB, 40
2026/01/09 15:30:29.796, 8 %, 6 %, 547 MiB, 41
2026/01/09 15:30:32.798, 2 %, 2 %, 539 MiB, 41
2026/01/09 15:30:35.799, 2 %, 7 %, 534 MiB, 40
2026/01/09 15:30:38.800, 11 %, 7 %, 525 MiB, 40
2026/01/09 15:30:41.802, 1 %, 2 %, 533 MiB, 41
2026/01/09 15:30:44.803, 10 %, 7 %, 526 MiB, 41
2026/01/09 15:30:47.804, 0 %, 1 %, 536 MiB, 41
2026/01/09 15:30:50.805, 1 %, 2 %, 535 MiB, 41
2026/01/09 15:30:53.806, 1 %, 2 %, 522 MiB, 41
2026/01/09 15:30:56.807, 1 %, 2 %, 525 MiB, 41
2026/01/09 15:30:59.808, 1 %, 2 %, 532 MiB, 41
2026/01/09 15:31:02.809, 2 %, 2 %, 539 MiB, 41
2026/01/09 15:31:05.811, 1 %, 2 %, 548 MiB, 41
2026/01/09 15:31:08.812, 8 %, 6 %, 529 MiB, 41
2026/01/09 15:31:11.813, 1 %, 2 %, 527 MiB, 41
2026/01/09 15:31:14.814, 1 %, 2 %, 511 MiB, 41
2026/01/09 15:31:17.816, 1 %, 2 %, 509 MiB, 41
2026/01/09 15:31:20.817, 1 %, 2 %, 513 MiB, 41
2026/01/09 15:31:23.818, 1 %, 2 %, 531 MiB, 41
2026/01/09 15:31:26.819, 3 %, 11 %, 534 MiB, 40
2026/01/09 15:31:29.820, 2 %, 2 %, 540 MiB, 41
2026/01/09 15:31:32.822, 0 %, 1 %, 551 MiB, 41
2026/01/09 15:31:35.823, 1 %, 2 %, 540 MiB, 41
2026/01/09 15:31:38.824, 1 %, 2 %, 505 MiB, 41
2026/01/09 15:31:41.825, 3 %, 3 %, 505 MiB, 41
2026/01/09 15:31:44.826, 2 %, 2 %, 505 MiB, 41
2026/01/09 15:31:47.828, 2 %, 3 %, 505 MiB, 41
2026/01/09 15:31:50.829, 12 %, 8 %, 522 MiB, 41
2026/01/09 15:31:53.831, 1 %, 2 %, 519 MiB, 41
2026/01/09 15:31:56.832, 3 %, 3 %, 507 MiB, 41
2026/01/09 15:31:59.833, 2 %, 2 %, 506 MiB, 41
2026/01/09 15:32:02.834, 1 %, 2 %, 509 MiB, 41
2026/01/09 15:32:05.835, 0 %, 1 %, 506 MiB, 41
2026/01/09 15:32:08.837, 0 %, 1 %, 506 MiB, 41
2026/01/09 15:32:11.838, 1 %, 2 %, 506 MiB, 41
